features_count,model,rmse,r2,training_time
10,RandomForest,53.65871491987198,0.8425302395207657,24.63576340675354
10,Randomforest(cuML),60.40000915527344,0.8004781007766724,8.058094024658203
20,RandomForest,85.36251126919339,0.8091826902817802,43.66477417945862
20,Randomforest(cuML),118.39830780029297,0.6329084634780884,7.716360330581665
30,RandomForest,97.21305273245322,0.6947032750174087,62.379597663879395
30,Randomforest(cuML),109.75482940673828,0.6108471155166626,7.4303271770477295
40,RandomForest,86.41751350161637,0.7743018702125228,86.92253375053406
40,Randomforest(cuML),111.62741088867188,0.6234122514724731,7.801493167877197
50,RandomForest,61.7279094102975,0.8514225340976677,110.248220205307
50,Randomforest(cuML),93.73845672607422,0.6573699712753296,7.935937881469727
60,RandomForest,104.1922093121744,0.6810371509015128,118.98619222640991
60,Randomforest(cuML),124.36752319335938,0.5455526113510132,7.59928035736084
70,RandomForest,113.4498420505728,0.7100332881430043,138.44986414909363
70,Randomforest(cuML),145.65321350097656,0.5220521688461304,7.919449806213379
80,RandomForest,121.18166884239623,0.6819076384435432,159.43102860450745
80,Randomforest(cuML),156.41485595703125,0.4700493812561035,7.619171142578125
90,RandomForest,126.22500164297011,0.5735233644171626,178.06301355361938
90,Randomforest(cuML),143.909912109375,0.44564759731292725,8.101969957351685
100,RandomForest,94.58845611566913,0.7085532181485423,193.01129746437073
100,Randomforest(cuML),129.60812377929688,0.4527983069419861,8.21506404876709
110,RandomForest,85.29148012393694,0.7391159674676764,212.68818640708923
110,Randomforest(cuML),121.48384094238281,0.47073495388031006,8.175345420837402
120,RandomForest,79.31561100378921,0.741457447682379,229.6793601512909
120,Randomforest(cuML),114.36698913574219,0.4624534845352173,8.056973695755005
130,RandomForest,129.09329002535486,0.6429525086282342,250.5258948802948
130,Randomforest(cuML),166.1655731201172,0.4084373116493225,8.402668237686157
140,RandomForest,85.0971318951373,0.6961503080586775,270.6910033226013
140,Randomforest(cuML),122.18304443359375,0.3736013174057007,8.395218849182129
150,RandomForest,102.65235023200974,0.6509936025384607,286.84642267227173
150,Randomforest(cuML),133.5873565673828,0.408947229385376,8.817392110824585
160,RandomForest,93.39185139498682,0.6542733844761373,305.62936878204346
160,Randomforest(cuML),125.07000732421875,0.3799578547477722,8.526210308074951
170,RandomForest,121.28187070097368,0.6516066947319992,327.00149273872375
170,Randomforest(cuML),163.6326141357422,0.3658123016357422,8.809104919433594
180,RandomForest,106.61081555982392,0.6851838489053975,349.31840443611145
180,Randomforest(cuML),153.6808319091797,0.34582507610321045,8.68568730354309
190,RandomForest,101.16901115243034,0.6816533875117532,362.2840633392334
190,Randomforest(cuML),141.79183959960938,0.3746722936630249,14.008724451065063
200,RandomForest,114.81531904991336,0.6514339329731449,381.7280831336975
200,Randomforest(cuML),155.1811065673828,0.3632585406303406,14.000221967697144
210,RandomForest,128.825813639458,0.5977652665849652,399.21496510505676
210,Randomforest(cuML),164.66513061523438,0.342831015586853,14.434577703475952
220,RandomForest,121.31034354746056,0.6858081120531812,418.4164936542511
220,Randomforest(cuML),172.80923461914062,0.3624221682548523,14.297512292861938
230,RandomForest,102.85152872555147,0.735158282944083,437.63879227638245
230,Randomforest(cuML),158.9365997314453,0.36756962537765503,16.39484930038452
240,RandomForest,101.67306445233714,0.7061107744335015,457.90233182907104
240,Randomforest(cuML),152.7714385986328,0.3364766836166382,15.977546691894531
250,RandomForest,134.1362509141311,0.54753896302917,483.23049092292786
250,Randomforest(cuML),167.77532958984375,0.2921438217163086,14.054235935211182
260,RandomForest,73.55514653800788,0.7697530010636024,494.52820897102356
260,Randomforest(cuML),122.35208129882812,0.3629249930381775,14.526773929595947
270,RandomForest,109.61565616577066,0.6781129748988108,512.6093871593475
